"distribution","n","sm","hd","thd.sqrt"
"Normal(m=0, sd=1)",9,0.56328,0.45649,0.5033
"Normal(m=0, sd=1)",10,0.50755,0.42814,0.46937
"Normal(m=0, sd=1)",11,0.50854,0.42914,0.46867
"Normal(m=0, sd=1)",12,0.44296,0.37233,0.41854
"Normal(m=0, sd=1)",13,0.48225,0.4084,0.4369
"Normal(m=0, sd=1)",14,0.40929,0.36633,0.3911
"Normal(m=0, sd=1)",15,0.43155,0.3684,0.38317
"Normal(m=0, sd=1)",16,0.38091,0.33831,0.36174
"Normal(m=0, sd=1)",17,0.36837,0.32532,0.33948
"Normal(m=0, sd=1)",18,0.38487,0.34359,0.37188
"Normal(m=0, sd=1)",19,0.37578,0.33464,0.34642
"Normal(m=0, sd=1)",20,0.36368,0.32451,0.34711
"Normal(m=0, sd=1)",21,0.35275,0.30254,0.31117
"Normal(m=0, sd=1)",22,0.34679,0.30281,0.32703
"Normal(m=0, sd=1)",23,0.34513,0.30983,0.32704
"Normal(m=0, sd=1)",24,0.34004,0.29298,0.30591
"Normal(m=0, sd=1)",25,0.33725,0.30778,0.32432
"Normal(m=0, sd=1)",26,0.29473,0.25908,0.27581
"Normal(m=0, sd=1)",27,0.31261,0.28758,0.29984
"Normal(m=0, sd=1)",28,0.30333,0.2826,0.29851
"Normal(m=0, sd=1)",29,0.30009,0.27548,0.28173
"Normal(m=0, sd=1)",30,0.2818,0.2497,0.26873
"Normal(m=0, sd=1)",31,0.28121,0.25776,0.27005
"Normal(m=0, sd=1)",32,0.2826,0.26167,0.27328
"Normal(m=0, sd=1)",33,0.29536,0.26181,0.27698
"Normal(m=0, sd=1)",34,0.26925,0.24987,0.26305
"Normal(m=0, sd=1)",35,0.26192,0.23868,0.24863
"Normal(m=0, sd=1)",36,0.26658,0.24246,0.25731
"Normal(m=0, sd=1)",37,0.28325,0.25558,0.25959
"Normal(m=0, sd=1)",38,0.23626,0.22027,0.23199
"Normal(m=0, sd=1)",39,0.25403,0.23727,0.24336
"Normal(m=0, sd=1)",40,0.24975,0.23176,0.24553
"Normal(m=0, sd=1)",41,0.25259,0.23104,0.24306
"Normal(m=0, sd=1)",42,0.23948,0.21792,0.22857
"Normal(m=0, sd=1)",43,0.24616,0.22249,0.23355
"Normal(m=0, sd=1)",44,0.24082,0.22084,0.23544
"Normal(m=0, sd=1)",45,0.221,0.21386,0.2207
"Normal(m=0, sd=1)",46,0.24132,0.22897,0.23241
"Normal(m=0, sd=1)",47,0.24191,0.21543,0.22968
"Normal(m=0, sd=1)",48,0.21267,0.20513,0.21078
"Normal(m=0, sd=1)",49,0.22454,0.20227,0.20633
"Normal(m=0, sd=1)",50,0.22024,0.21483,0.21666
"Weibull(scale=1, shape=2)",5,0.37569,0.27304,0.30302
"Weibull(scale=1, shape=2)",6,0.29319,0.24864,0.27173
"Weibull(scale=1, shape=2)",7,0.3153,0.23259,0.26096
"Weibull(scale=1, shape=2)",8,0.27347,0.22802,0.25285
"Weibull(scale=1, shape=2)",9,0.25213,0.20146,0.22649
"Weibull(scale=1, shape=2)",10,0.22621,0.1963,0.21343
"Weibull(scale=1, shape=2)",11,0.23437,0.19275,0.21581
"Weibull(scale=1, shape=2)",12,0.22724,0.19812,0.22007
"Weibull(scale=1, shape=2)",13,0.21299,0.18354,0.19108
"Weibull(scale=1, shape=2)",14,0.20614,0.18026,0.19037
"Weibull(scale=1, shape=2)",15,0.19667,0.16301,0.17466
"Weibull(scale=1, shape=2)",16,0.18359,0.16639,0.1781
"Weibull(scale=1, shape=2)",17,0.17054,0.15433,0.15968
"Weibull(scale=1, shape=2)",18,0.17563,0.15956,0.16862
"Weibull(scale=1, shape=2)",19,0.15871,0.14622,0.15494
"Weibull(scale=1, shape=2)",20,0.16478,0.14779,0.15305
"Weibull(scale=1, shape=2)",21,0.15487,0.13645,0.14297
"Weibull(scale=1, shape=2)",22,0.1601,0.14625,0.15623
"Weibull(scale=1, shape=2)",23,0.15824,0.1408,0.15005
"Weibull(scale=1, shape=2)",24,0.15685,0.13674,0.14593
"Weibull(scale=1, shape=2)",25,0.15174,0.13636,0.13868
"Weibull(scale=1, shape=2)",26,0.15174,0.13814,0.14707
"Weibull(scale=1, shape=2)",27,0.14345,0.12874,0.13476
"Weibull(scale=1, shape=2)",28,0.14162,0.12656,0.13631
"Weibull(scale=1, shape=2)",29,0.13754,0.12245,0.13135
"Weibull(scale=1, shape=2)",30,0.13536,0.12871,0.13793
"Weibull(scale=1, shape=2)",31,0.13503,0.11639,0.12216
"Weibull(scale=1, shape=2)",32,0.12782,0.11381,0.12062
"Weibull(scale=1, shape=2)",33,0.13521,0.11762,0.12446
"Weibull(scale=1, shape=2)",34,0.13174,0.12019,0.12765
"Weibull(scale=1, shape=2)",35,0.12294,0.11529,0.11642
"Weibull(scale=1, shape=2)",36,0.11887,0.1091,0.11538
"Weibull(scale=1, shape=2)",37,0.12428,0.11365,0.11344
"Weibull(scale=1, shape=2)",38,0.12112,0.1109,0.11827
"Weibull(scale=1, shape=2)",39,0.11987,0.10979,0.11588
"Weibull(scale=1, shape=2)",40,0.11982,0.10974,0.11419
"Weibull(scale=1, shape=2)",41,0.11779,0.10527,0.10824
"Weibull(scale=1, shape=2)",42,0.1161,0.10451,0.11093
"Weibull(scale=1, shape=2)",43,0.11344,0.10478,0.10826
"Weibull(scale=1, shape=2)",44,0.11517,0.1015,0.10956
"Weibull(scale=1, shape=2)",45,0.11358,0.10028,0.1069
"Weibull(scale=1, shape=2)",46,0.10585,0.09999,0.10434
"Weibull(scale=1, shape=2)",47,0.11003,0.09874,0.10688
"Weibull(scale=1, shape=2)",48,0.1066,0.09953,0.10134
"Weibull(scale=1, shape=2)",49,0.10569,0.09817,0.10215
"Weibull(scale=1, shape=2)",50,0.09765,0.09365,0.09419
"Student(df=3)",5,1.00342,0.83183,0.85812
"Student(df=3)",6,0.8133,0.75712,0.76314
"Student(df=3)",7,0.8356,0.66666,0.72531
"Student(df=3)",8,0.63502,0.57589,0.60521
"Student(df=3)",9,0.7276,0.59452,0.63644
"Student(df=3)",10,0.6637,0.60486,0.62442
"Student(df=3)",11,0.65507,0.57189,0.59979
"Student(df=3)",12,0.57709,0.53668,0.55762
"Student(df=3)",13,0.55965,0.4899,0.53194
"Student(df=3)",14,0.50564,0.4608,0.48269
"Student(df=3)",15,0.51127,0.46323,0.46719
"Student(df=3)",16,0.48227,0.44073,0.46602
"Student(df=3)",17,0.49019,0.42364,0.45122
"Student(df=3)",18,0.47863,0.43786,0.45237
